pdb,total_sasa,rl
seq_000085_model_0.pdb,8491.65419530478,4.53627822378
seq_000086_model_0.pdb,9159.914219458116,4.7890815736
seq_000087_model_0.pdb,10098.050265477288,3.16527591568
seq_000088_model_0.pdb,9937.112975136091,4.28988300195
seq_000089_model_0.pdb,9531.126765192708,3.42763667788
seq_000090_model_0.pdb,9684.4393698632,8.26804250452
seq_000091_model_0.pdb,9949.934113109275,3.14382680911
seq_000092_model_0.pdb,8880.807657777154,4.46167094611
seq_000093_model_0.pdb,9258.890517264454,2.93217192052
seq_000094_model_0.pdb,9232.384757574404,4.32669110595
seq_000095_model_0.pdb,8531.521157016097,3.90959464771
seq_000096_model_0.pdb,9027.306882377225,3.46137721552
seq_000097_model_0.pdb,8465.269368649555,3.16136840106
seq_000098_model_0.pdb,9375.371760895812,3.62220800972
seq_000099_model_0.pdb,8565.630888518459,3.38852078979
seq_000100_model_0.pdb,9212.710759085958,2.99730326157
seq_000101_model_0.pdb,8708.977873021408,3.01668702075
seq_000102_model_0.pdb,10254.799517345004,3.06635225306
seq_000103_model_0.pdb,9578.823503993635,4.71741850384
seq_000104_model_0.pdb,9672.766358579089,5.12640295486
seq_000105_model_0.pdb,9632.412724071675,3.91395078516
seq_000106_model_0.pdb,8738.126138928043,5.73965711889
seq_000107_model_0.pdb,10739.273096355391,2.79248223842
seq_000108_model_0.pdb,8897.50555803649,7.75512757796
seq_000109_model_0.pdb,9995.96376897516,3.15445309875
seq_000110_model_0.pdb,9139.70401454457,3.96980491686
seq_000111_model_0.pdb,9099.939449442549,3.73358919252
seq_000112_model_0.pdb,8818.803672758884,3.12629897646
seq_000113_model_0.pdb,9210.48047403205,3.08606064136
seq_000114_model_0.pdb,9738.790428122578,3.2677236444
seq_000115_model_0.pdb,10084.114571073944,4.35982647238
seq_000116_model_0.pdb,9292.491683681888,3.67665846042
seq_000117_model_0.pdb,9002.113206718157,3.82056909992
seq_000118_model_0.pdb,9394.16686222317,3.9081378319
seq_000119_model_0.pdb,9286.777788726302,4.62693331034
seq_000120_model_0.pdb,9108.88294132307,3.67842772814
seq_000121_model_0.pdb,9481.39075925338,3.18680167649
seq_000122_model_0.pdb,9749.920634967615,4.437169754
seq_000123_model_0.pdb,9154.537286174158,3.85605811342
seq_000124_model_0.pdb,8858.582987790778,4.13620796166
seq_000125_model_0.pdb,9202.555021272978,7.50271415297
seq_000126_model_0.pdb,9287.039114199575,3.23198546782
seq_000127_model_0.pdb,9510.428870845984,3.75355325627
seq_000128_model_0.pdb,9579.82778606908,4.40260795677
seq_000129_model_0.pdb,9044.466001903444,7.97000545786
